Category,Crop_Name,Method,Season_Type,Production_Months,Min_Temp_C,Max_Temp_C,Nursery_Days,Germination_Rate,Seed_Cost_TWD,Substrate_Cost_TWD,Labor_Cost_TWD,Utility_Cost_Daily_TWD,Market_Price_Buy_TWD,Note
Vegetable_Leafy,甘藍(高麗菜),Seed,Cool,"10,11,12,1,2,3",10,32,30,0.95,0.15,0.1,0.35,0.02,1.20,Tai-Yi benchmark 120TWD/128tray
Vegetable_Leafy,結球白菜(包心白),Seed,Cool,"9,10,11,12,1",10,25,25,0.90,0.10,0.1,0.30,0.02,1.0,Standard winter crop
Vegetable_Leafy,洋蔥(448穴盤),Seed,Cool,"9,10,11",10,25,50,0.90,0.20,0.10,0.05,0.02,1.0,Mechanized high density
Vegetable_Fruit,圓筒絲瓜(實生),Seed,Hot,"2,3,4,5,6,7,8,9",20,35,25,0.85,1.50,0.1,1.50,0.05,6.0,Hard seed manual labor
Vegetable_Fruit,青花菜(綠寶),Seed,Cool,"8,9,10,11,12,1",15,25,35,0.90,0.50,0.1,0.20,0.02,1.8,Major winter crop
Vegetable_Fruit,朝天椒,Seed,Hot,"2,3,4,5,6,7,8",20,32,45,0.85,0.50,0.1,0.50,0.03,4.0,Year round production peak
Vegetable_Fruit,百香果(嫁接),Grafted,Hot,"2,3,4",18,32,60,0.85,5.00,2.00,8.00,0.10,45.0,High margin grafted
Vegetable_Fruit,百香果(實生),Seed,Hot,"2,3,4,5,6",15,30,45,0.90,2.00,1.50,3.00,0.05,15.0,Regular seedling
Vegetable_Fruit,西瓜(嫁接),Grafted,Hot,"2,3,4,5,6",20,35,30,0.90,3.00,0.1,3.50,0.08,15.0,Summer fruit staple
Vegetable_Fruit,苦瓜(嫁接),Grafted,Hot,"3,4,5,6,7",20,35,30,0.85,5.00,0.1,4.00,0.08,25.0,Warm season crops
Vegetable_Fruit,番茄(嫁接),Grafted,Cool,"8,9,10,11",15,30,40,0.90,2.00,0.1,4.00,0.05,15.0,High value winter crop
Flower,非洲鳳仙 (Impatiens),Seed,Temperate,All,15,28,45,0.85,0.20,0.1,0.30,0.02,1.3,Plug Price 1.1-1.5
Flower,四季秋海棠 (Begonia),Seed,Temperate,All,15,30,50,0.90,0.15,0.1,0.30,0.02,1.5,Plug Price 1.3-1.6
Flower,矮牽牛 (Petunia),Seed,Cool,"9,10,11,12,1,2,3",10,28,40,0.90,0.20,0.1,0.30,0.02,1.6,Plug Price 1.4-1.7
Flower,一串紅 (Salvia),Seed,Temperate,All,15,30,45,0.85,0.20,0.1,0.30,0.02,1.4,Plug Price 1.3-1.5
Flower,五彩石竹 (Dianthus),Seed,Cool,"9,10,11,12,1,2",10,25,40,0.90,0.25,0.1,0.30,0.02,1.8,Plug Price 1.7-1.9
Flower,三色堇 (Pansy),Seed,Cool,"9,10,11,12,1",10,25,50,0.85,0.30,0.1,0.40,0.02,2.2,Plug Price 1.8-2.5
Flower,金魚草 (Antirrhinum),Seed,Cool,"9,10,11,12,1,2",10,25,45,0.90,0.15,0.1,0.30,0.02,1.4,Plug Price 1.3-1.4
Flower,鼠尾草 (Salvia farinacea),Seed,Temperate,"3,4,5,9,10,11",15,30,45,0.85,0.20,0.1,0.30,0.02,1.7,Plug Price 1.5-1.8
Flower,天竺葵 (Geraniums),Seed,Cool,"10,11,12,1,2,3",10,25,50,0.80,1.50,0.1,1.00,0.05,6.5,Plug Price 5.0-8.0
Flower,萬壽菊 (Marigold),Seed,Hot,"3,4,5,6,7,8,9,10",18,35,50,0.95,0.20,0.1,0.30,0.02,1.9,Plug Price 1.8-2.0
Flower,孔雀草 (French Marigold),Seed,Hot,"4,5,6,7,8,9",20,35,35,0.95,0.15,0.1,0.30,0.02,1.7,Plug Price 1.5-1.8
Flower,滿天星 (Gypsophila),Seed,Temperate,"9,10,11,12,1,2,3",15,28,45,0.90,0.20,0.1,0.30,0.02,1.8,Plug Price 1.6-2.0
Flower,四季秋海棠(3寸盆),Seed,Temperate,All,15,30,50,0.95,0.20,1.50,0.80,0.05,9.0,Finished Pot 3-inch
Flower,非洲鳳仙(3寸盆),Seed,Temperate,All,15,28,50,0.90,0.20,1.50,0.80,0.05,9.0,Finished Pot 3-inch
Flower,一串紅(3寸盆),Seed,Temperate,All,15,30,50,0.90,0.20,1.50,0.80,0.05,9.0,Finished Pot 3-inch
Flower,矮牽牛(3寸盆),Seed,Cool,"9,10,11,12,1,2,3",10,28,50,0.90,0.20,1.50,0.80,0.05,9.0,Finished Pot 3-inch
Flower,萬壽菊(3寸盆),Seed,Hot,"3,4,5,6,7,8,9,10",18,35,50,0.95,0.20,1.50,0.80,0.05,9.0,Summer Pot
Flower,三色堇(3寸盆),Seed,Cool,"9,10,11,12,1",10,25,50,0.90,0.30,1.50,0.80,0.05,9.0,High Value Winter Pot
Flower,孔雀草(3寸盆),Seed,Hot,"4,5,6,7,8,9",20,35,50,0.95,0.15,1.50,0.80,0.05,9.0,Summer Pot
Flower,聖誕紅(5寸盆),Cutting,Cool,"8,9,10,11,12",15,25,120,0.90,5.00,5.00,5.00,0.10,120.0,High Value Holiday Season
Fruit_Berry,一般草莓(走莖),Runner,Cool,"9,10,11",15,28,50,0.95,2.00,1.50,3.00,0.05,15.0,Seedlings needed in autumn for winter harvest
Vegetable_Fruit,甜椒,Seed,Temperate,"8,9,10,11,1,2",15,28,45,0.85,1.00,0.1,1.00,0.03,8.0,Autumn planting preferred
Vegetable_Fruit,番茄(實生),Seed,Cool,"8,9,10,11,12,1",12,28,30,0.95,0.50,0.1,0.50,0.02,2.5,Winter fruit needs autumn seedlings
Vegetable_Fruit,番茄(嫁接),Grafted,Cool,"8,9,10,11",15,30,40,0.90,2.00,0.1,4.00,0.05,15.0,Grafted implies high value winter crop
Vegetable_Fruit,小黃瓜(實生),Seed,Temperate,"3,4,5,9,10",15,30,20,0.95,0.80,0.1,0.50,0.02,5.0,Fast turnover
Vegetable_Fruit,小黃瓜(嫁接),Grafted,Temperate,"3,4,5,9,10",18,32,25,0.90,2.00,0.1,3.50,0.05,18.0,Disease resistant
Vegetable_Fruit,洋香瓜(嫁接),Grafted,Hot,"2,3,8,9",20,35,28,0.85,8.00,0.1,4.00,0.10,30.0,Targeting specific festivals
Vegetable_Leafy,結球萵苣(美生菜),Seed,Cool,"9,10,11,12,1",10,25,25,0.90,0.05,0.1,0.15,0.01,1.2,Winter crop
Vegetable_Leafy,蘿蔓萵苣,Seed,Temperate,"9,10,11,12,1,2,3",15,28,20,0.95,0.05,0.1,0.15,0.01,1.2,Wider range than iceberg
Vegetable_Leafy,奶油萵苣,Seed,Cool,"10,11,12,1,2",10,25,25,0.90,0.08,0.1,0.20,0.01,1.8,Hydroponic favorite
Vegetable_Leafy,羽衣甘藍,Seed,Cool,"10,11,12,1",10,25,25,0.90,0.20,0.1,0.20,0.01,2.5,Superfood winter only
Herb,甜羅勒,Seed,Hot,"3,4,5,6,7,8,9,10",18,30,35,0.85,0.10,0.1,0.50,0.02,3.0,Basil loves heat
Herb,薄荷,Cutting,Temperate,All,15,30,30,0.95,0.20,0.1,1.00,0.02,5.0,Invasive growth
Herb,迷迭香,Cutting,Temperate,"9,10,11,12,1,2,3,4",15,25,45,0.80,0.50,0.50,2.00,0.05,15.0,Slow growing
Flower,洋桔梗,Seed,Temperate,"9,10,11,12,1,2,3",15,25,50,0.85,1.00,0.50,1.50,0.05,5.0,Long nursery time
Flower,菊花,Cutting,Temperate,"8,9,10,11,12",15,25,40,0.90,0.50,0.50,1.50,0.05,3.5,Light sensitive
